brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Lexus, Տեղադրված է՝  31.03.2019, ID: 2099558,LS 460 ,16 000 $,2007,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,180000 կմ,Ավտոմատ,
Mazda, Տեղադրված է՝  31.03.2019, ID: 2099550,Premacy ,4 300 $,2006,,Մոխրագույն,,Մինիվեն / Միկրոավտոբուս,,Աջ,,,Գազ,,,190000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  31.03.2019, ID: 2099540,Forte ,8 500 $,2016,,Սև,,Սեդան,,Ձախ,,1.8,Բենզին,,,22000 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  31.03.2019, ID: 2099539,GX 470 ,19 500 $,2008,,Սպիտակ,,Ամենագնաց,,Ձախ,,Zavaskoy restayling,Գազ,,,138000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  31.03.2019, ID: 2099523,Sorento ,4 500 $,2005,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,95000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  31.03.2019, ID: 2099509,ES 350 ,10 500 $,2007,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,91500 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  31.03.2019, ID: 2099507,Astra ,2 550 $,2000,,Կապույտ,,Հետչբեք,,Ձախ,,,Բենզին,,,168000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  31.03.2019, ID: 2099505,Forte ,5 300 $,2010,"15""",Սպիտակ,5,Սեդան,156,Ձախ,,LX 2.0 DOHC Mator,Բենզին,2.0,Մոխրագույն,97560 կմ,Ավտոմատ,Առջևի
Niva, Տեղադրված է՝  31.03.2019, ID: 2099504,2121 ,4 900 $,2014,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,80000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  31.03.2019, ID: 2099499,Astra ,3 100 $,2000,"15""",Երկնագույն,5,Սեդան,125,Ձախ,,G 1.8 z Mator Sedan,Բենզին,1.8,Սև,189000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  31.03.2019, ID: 2099491,Astra ,2 800 $,2000,"15""",Արծաթագույն,5,Հետչբեք,75,Ձախ,,G 1.6 Prastoy Mator,Բենզին,1.6,Սև,200000 կմ,Մեխանիկական,Առջևի
Kia, Տեղադրված է՝  31.03.2019, ID: 2099469,Sorento ,5 700 $,2005,,Սպիտակ,,Ամենագնաց,,Ձախ,,4,Գազ,,,105000 մղոն,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  31.03.2019, ID: 2099453,Outlander ,5 800 $,2006,,Սպիտակ,,Ամենագնաց,,Ձախ,,ORIGINAL DZAX XEK. 3 LITR. 4x4,Բենզին,,,167000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  31.03.2019, ID: 2099447,RX 300 ,5 800 $,2001,,Սև,,Ունիվերսալ,,Ձախ,,3,Գազ,,,185000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  31.03.2019, ID: 2099446,RX 300 ,5 800 $,2001,,Սև,,Ունիվերսալ,,Ձախ,,3,Գազ,,,185000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  31.03.2019, ID: 2099427,GX 470 ,16 500 $,2006,"17""",Սև,4,Ունիվերսալ,263,Ձախ,8,"MAQUR 2006/12,-2007 MODELA",Բենզին,4.7,,164000 կմ,Ավտոմատ,Լիաքարշակ
Mitsubishi, Տեղադրված է՝  31.03.2019, ID: 2099422,Airtrek ,4 400 $,2001,"16""",Արծաթագույն,,Ամենագնաց,126,Ձախ,,"Prostoi-mator,gaz-1.6",Գազ,2.0,,170000 կմ,Ավտոմատ,Առջևի
Opel, Տեղադրված է՝  31.03.2019, ID: 2099417,Astra ,3 000 $,2000,"15""",Կանաչ,5,Հետչբեք,101,Ձախ,4,,Գազ,1.6,,147000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  31.03.2019, ID: 2099405,Astra ,2 950 $,2000,,Արծաթագույն,,Հետչբեք,,Ձախ,,1.6,Բենզին,,,162000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  31.03.2019, ID: 2099370,Optima ,9 300 $,2014,"17""",Սպիտակ,,Սեդան,,Ձախ,,PANARAMA START-STOP,Բենզին,2.4,,92000 կմ,Ավտոմատ,Առջևի
Mazda, Տեղադրված է՝  31.03.2019, ID: 2099355,6 ,6 000 $,2008,,Սև,,Սեդան,,Ձախ,,2.0,Բենզին,,,210000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  31.03.2019, ID: 2099352,Zafira ,3 300 $,2002,,Այլ գույն,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,1.8 ecotec,Բենզին,,,198000 կմ,Մեխանիկական,
