"","coef","standard_error","T_value","P_value"
"modelMercedes-Benz S 320 ",0.0979821439335324,0.032307851745182,3.03276567895432,0.0024292028412141
"modelMercedes-Benz S 350 ",0.405096640633869,0.0247066045698292,16.3962894815809,0.0000000000000000000000000000000000000000000000000000000000113365203573578
"modelMercedes-Benz S 430 ",0.0128812543006243,0.0772818957619746,0.16667880845338,0.86762601695583
"modelMercedes-Benz S 500 ",0.327370246105045,0.0206528326741939,15.8511062995296,0.0000000000000000000000000000000000000000000000000000000621285218592823
"modelMercedes-Benz S 550 ",0.439795527665688,0.0226258674138685,19.4377311429004,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000107035069962468
"modelMercedes-Benz Sprinter ",0.768140358309896,0.0415683813006383,18.4789576662708,0.00000000000000000000000000000000000000000000000000000000000000000000000000479918440225626
"modelMercedes-Benz Viano ",0.235796671123861,0.0204596356148542,11.5249692400517,0.0000000000000000000000000000015124194585473
"modelMercedes-Benz Vito ",0.221531204638738,0.0307396401454133,7.20669479508508,0.000000000000612995187474866
"modelMitsubishi Airtrek ",-0.296098660297295,0.0213663248504782,-13.8581933191317,0.000000000000000000000000000000000000000000274688766015668
"modelMitsubishi Chariot ",-0.51733385486262,0.0642017412400124,-8.05794118462636,0.000000000000000860842790164224
"modelMitsubishi Colt ",-0.741884538700444,0.065427976147059,-11.3389498252697,0.0000000000000000000000000000125503308196264
"modelMitsubishi Grandis ",-0.348399715121614,0.028551307926983,-12.2025833636977,0.000000000000000000000000000000000513819008021932
"modelMitsubishi Lancer ",-0.331191762644406,0.044889143449329,-7.37799247647166,0.000000000000172946419822683
"modelMitsubishi Montero ",0.0299266699325921,0.0589572815734948,0.507599216481618,0.611745190791574
"modelMitsubishi Montero Sport ",0.0164941010535615,0.0890458703561924,0.185231510316912,0.853051062624572
"modelMitsubishi Outlander ",-0.148030925008163,0.0222519270038262,-6.65249912884887,0.0000000000302625766744952
"modelMitsubishi Pajero ",0.135082990897165,0.0301761886030532,4.47647622680545,0.00000766916731398522
"modelMitsubishi Pajero Pinin (IO) ",-0.364385689112058,0.0285207489155644,-12.7761613199857,0.000000000000000000000000000000000000422881954710317
"modelNissan Altima ",-0.354209860494919,0.0297064186500781,-11.9236810289142,0.0000000000000000000000000000000145075844482561
"modelNissan BlueBird ",-0.510250420488718,0.0317185020411493,-16.08683852178,0.00000000000000000000000000000000000000000000000000000000155347906943268
"modelNissan Elgrand ",-0.1391414009602,0.0264817718458361,-5.25423305397435,0.000000151580289789056
"modelNissan Fuga ",-0.321316109057123,0.0234479664887384,-13.7033678042591,0.00000000000000000000000000000000000000000225737297056985
"modelNissan Juke ",-0.0837294116197134,0.0323229381376676,-2.5904022481836,0.00959974297625368
"modelNissan Liberty ",-0.53499489779115,0.154436862243584,-3.46416580872599,0.000534019217783492
"modelNissan March ",-0.829137855159326,0.0336712331220335,-24.6245170812221,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034861440297549
"modelNissan Maxima ",-0.119963768419819,0.0351755662245812,-3.41042892256235,0.000651070607948243
"modelNissan Murano ",-0.235093421959272,0.032029431448969,-7.33991867241965,0.000000000000229680048170412
"modelNissan Note ",-0.808723683042299,0.0360464001282406,-22.4356296374989,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000656662641346471
"modelNissan Pathfinder ",0.097959870136828,0.0267684632456426,3.65952536153804,0.000253931657361962
"modelNissan Patrol ",0.70143966093729,0.0597923102518746,11.7312687531638,0.000000000000000000000000000000139223688378364
"modelNissan Qashqai ",-0.0428054310503586,0.0910306580647709,-0.470230930549808,0.638199886115966
"modelNissan Quest ",0.0719849709855278,0.0560813708931516,1.28358080123748,0.199317233480897
"modelNissan Rogue ",-0.239017810874966,0.0697017781569524,-3.42914940185245,0.000607822439531216
"modelNissan Sentra ",-0.191424653945734,0.041552839915338,-4.60677668086593,0.00000413812744373033
"modelNissan Skyline ",-0.474988890592702,0.0224780408376304,-21.1312406638894,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000440482244331102
"modelNissan Sunny ",-0.620911037108939,0.0600274417160816,-10.3437864309749,0.00000000000000000000000058968358732116
"modelNissan Teana ",-0.481778513432832,0.0155202758479321,-31.041878259981,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203630997582816
"modelNissan Tiida ",-0.638634047393475,0.0173541976593558,-36.7999754254949,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080177828833567
"modelNissan Versa ",-0.564963721263231,0.0258084806339016,-21.8906230582634,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000687098830710612
"modelNissan X-Trail ",-0.334318741337877,0.0157348733354895,-21.2469928552798,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000417355253870719
"modelNissan Xterra ",-0.0308944840244657,0.018843826243457,-1.63950163970509,0.10113903694322
"modelNiva 2121",-0.551460784756954,0.0275977123712059,-19.982119435824,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000335530877497764
"modelNiva 4x4 Urban ",-0.401575036270176,0.0410116189764543,-9.79173820230625,0.000000000000000000000152839443915704
"modelNiva Այլ/Օther ",-0.655259078400644,0.109995374569998,-5.95715120715057,0.00000000264978988645265
"modelOpel Astra ",-0.391329737106548,0.0176021429801883,-22.2319371878186,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000508738211098971
"modelOpel Combo ",-0.329681190400344,0.0513698604391683,-6.41779416143732,0.000000000144276822135226
"modelOpel Corsa ",-0.54637078673105,0.0703936545345181,-7.76164826707686,0.00000000000000916964261760873
"modelOpel Vectra ",-0.374109536331337,0.0350021047659063,-10.6882011477132,0.0000000000000000000000000158623781719162
"modelOpel Vectra B ",-0.440382217038058,0.0294183477315609,-14.9696448303792,0.0000000000000000000000000000000000000000000000000384629920034652
"modelOpel Zafira ",-0.288989155972459,0.0176281673217251,-16.3936018247516,0.0000000000000000000000000000000000000000000000000000000000118359698275917
"modelPeugeot 307",-0.328596713817197,0.109368068749785,-3.00450321170952,0.00266647839967233
"modelPorsche Cayenne ",0.389995451538791,0.0204114207136689,19.1067274056834,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000514884787838729
"modelPorsche Panamera ",1.0400551295652,0.090030615959461,11.5522382967314,0.00000000000000000000000000000110598556171029
"modelSubaru Forester ",-0.188311224905903,0.0359651641943836,-5.23593396899632,0.000000167353033234224
"modelSubaru Legacy ",-0.380617458896917,0.0360626461449143,-10.5543408369824,0.0000000000000000000000000655446965391984
"modelSuzuki Grand Vitara ",-0.133050177582931,0.0370509933558579,-3.59100163132051,0.000330926137334374
"modelSuzuki Kizashi ",-0.360626493417025,0.0463503613183846,-7.78044621788061,0.00000000000000791159960319189
"modelSuzuki Swift ",-0.49284135246132,0.064458122890756,-7.64591536890689,0.0000000000000225761976049958
"modelSuzuki SX 4 ",-0.442580307067051,0.0297667174143473,-14.8682940381505,0.000000000000000000000000000000000000000000000000170152273516134
"modelToyota 4-Runner ",0.43716019070616,0.0243225185635474,17.9734754673531,0.0000000000000000000000000000000000000000000000000000000000000000000000371719513425493
"modelToyota Alphard ",0.0351145801959824,0.0201423850336213,1.74331789097318,0.0813076158725303
"modelToyota Altezza ",-0.34607041342496,0.0310746290156977,-11.1367512464956,0.00000000000000000000000000012057807796589
"modelToyota Camry ",-0.0681647427852811,0.0150504445637043,-4.5290850045498,0.00000598982248915141
"modelToyota Corolla ",-0.0661598234937188,0.0193758820772862,-3.41454511489188,0.000641322856949755
"modelToyota Highlander ",0.400325679694497,0.0499650776189439,8.01210963280314,0.00000000000000124813395226253
"modelToyota Ipsum ",-0.206224305680483,0.0211101070608132,-9.76898435836444,0.000000000000000000000190978746006242
"modelToyota Land Cruiser 100 ",0.83676909864152,0.0523442774256983,15.9858754346031,0.00000000000000000000000000000000000000000000000000000000758862895233212
"modelToyota Land Cruiser 200 ",1.06280380869292,0.0302710926406398,35.1095291243659,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252400183433493
"modelToyota Land Cruiser Prado ",0.781810318478921,0.0201042174012032,38.8878762538715,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052339160591636
"modelToyota Prius ",-0.0621698087391962,0.06143413635619,-1.01197497721366,0.31157353120614
"modelToyota Rav 4 ",0.165740961643844,0.021338453028772,7.76724354949087,0.00000000000000877590388327446
"modelToyota Sequoia ",0.45376380862911,0.0555678394577872,8.16594298171008,0.000000000000000355830988767956
"modelToyota Sienna ",0.218607967717512,0.0527606250470358,4.14339230292713,0.0000344911560256032
"modelToyota Vitz ",-0.669313434768238,0.0453000986512091,-14.7750988341473,0.000000000000000000000000000000000000000000000000662199607846926
"modelToyota Voxy ",-0.269525251292522,0.059726169560931,-4.5126826862312,0.0000064714519567645
"modelVAZ(Lada) 2106",-1.09033705161267,0.0507379402225836,-21.4895805156742,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000287826504865246
"modelVAZ(Lada) 2107",-1.17631790882822,0.0280533396181388,-41.931474998707,0
"modelVAZ(Lada) 21099",-0.737842191918725,0.0706157648449339,-10.4486893760757,0.000000000000000000000000198419934265566
"modelVAZ(Lada) 2110",-1.00660725056712,0.040941148623123,-24.5866880734901,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000841406083571675
"modelVAZ(Lada) 2112",-0.909439980804892,0.0361882607943922,-25.1308010067679,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000234921231068927
"modelVAZ(Lada) 2113",-0.90150113952893,0.0604581115354179,-14.9111693474052,0.0000000000000000000000000000000000000000000000000908133914907252
"modelVAZ(Lada) 2114",-1.01888259500609,0.0349259779494885,-29.172628937682,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000654691398628458
"modelVAZ(Lada) 2115",-0.952036872583778,0.0459294025509514,-20.728265984467,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146872772059205
"modelVAZ(Lada) 2121",-0.516379433319013,0.0496102778759787,-10.4087188265689,0.000000000000000000000000300859601184713
"modelVAZ(Lada) 2170 Priora ",-0.774770850125804,0.0271743753636075,-28.5110822147321,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000315218009872074
"modelVAZ(Lada) 2172 Priora ",-0.80829018753821,0.037417070888365,-21.6021769835958,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280763044931911
"modelVolkswagen Caddy ",-0.022302960451385,0.0495806989278993,-0.449831505679624,0.652841302185535
"modelVolkswagen Golf ",-0.425197907375146,0.0229854883930232,-18.4985369945067,0.00000000000000000000000000000000000000000000000000000000000000000000000000337682294093364
"modelVolkswagen Jetta ",-0.433100850907106,0.0228894386716037,-18.9214273500033,0.00000000000000000000000000000000000000000000000000000000000000000000000000000156525991850327
"modelVolkswagen New Beetle ",-0.308560884447502,0.0448169237953391,-6.88491887253521,0.00000000000611528374765293
"modelVolkswagen Passat ",-0.363280115402902,0.0222023246899544,-16.3622557761832,0.0000000000000000000000000000000000000000000000000000000000195599839104794
"modelVolkswagen Passat CC ",-0.0873916407080865,0.0482917431897213,-1.809660097892,0.0703773343446767
"modelVolkswagen Polo ",-0.398836040633743,0.0412512090145627,-9.66846912275817,0.000000000000000000000507908846316038
"modelVolkswagen Tiguan ",-0.0270887739428868,0.0382616886411056,-0.707986889888196,0.478969245247914
"modelVolkswagen Touareg ",0.0135260251752771,0.0236852585697828,0.571073570314886,0.567962097526621
"modelVolvo XC90 ",0.0462380202954692,0.047548927146279,0.972430359011531,0.330859082475773
"year",0.0672062561754196,0.000694843564179332,96.7214199570169,0
"Horsepower",0.00124721640671033,0.0000685479923239859,18.194791188274,0.000000000000000000000000000000000000000000000000000000000000000000000000758308193224125
"Hand_DriveRight",-0.0015710925734662,0.00740298305424882,-0.21222425635089,0.831936237696819
"Hand_DriveSwitched from right to left",-0.021064188629986,0.0141096617152281,-1.49289111639382,0.135495987490697
"Engine_Cylinders",0.000791281835952422,0.00269453781317552,0.293661433171685,0.769022479916797
"EngineDiesel",0.126727042166197,0.0283714092959794,4.4667165047792,0.00000802664555584646
"EngineElectricity",0.067720900977276,0.110057729365729,0.615321625909935,0.538355785535091
"EngineHybrid:",0.0784687674984039,0.0320621116263993,2.44739861219229,0.0144055624105023
"EnginePetrol",-0.0187828410084137,0.00410351834898452,-4.57725283793646,0.00000476576923216911
"Interior_Colorblack",0.0260803157699203,0.00449856214946644,5.79747815043827,0.00000000692765385743948
"Interior_ColorBlue",-0.0026656530367467,0.021531841755554,-0.123800512144258,0.901475615758049
"Interior_ColorChestnut",0.0100743920581152,0.012860962203602,0.783331130177315,0.433450502531635
"Interior_ColorGrey",-0.018703413394247,0.00529135894631046,-3.53470886855795,0.000409996132433278
