,brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
0,Opel, Տեղադրված է՝  04.10.2018, ID: 1834427,Astra ,3 300 $,2002,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,shtap..shtap.....,Բենզին,,,137000 կմ,Մեխանիկական,
1,Niva, Տեղադրված է՝  04.10.2018, ID: 1834399,2121 ,7 800 $,2016,,Սպիտակ,,Ունիվերսալ,,Ձախ,,Elbrus Edition,Բենզին,,,54000 կմ,Մեխանիկական,
2,Opel, Տեղադրված է՝  04.10.2018, ID: 1834395,Astra ,3 400 $,2003,"14""",Կապույտ,4,Հետչբեք,84,Ձախ,4,"1,6 простой инжектор",Բենզին,1.6,Մոխրագույն,146000 կմ,Մեխանիկական,Առջևի
3,VAZ(Lada), Տեղադրված է՝  03.10.2018, ID: 1834369,2112 ,2 300 $,2005,"14""",Արծաթագույն,4,Հետչբեք,98,Ձախ,4,16 klapan,Բենզին,1.6,Մոխրագույն,217000 կմ,Մեխանիկական,Առջևի
4,VAZ(Lada), Տեղադրված է՝  03.10.2018, ID: 1834352,21099 ,900 000 ֏,2001,,Կապույտ,,Սեդան,,Ձախ,,,Գազ,,,200000 կմ,Մեխանիկական,
5,Opel, Տեղադրված է՝  03.10.2018, ID: 1834348,Astra ,1 584 000 ֏,2002,"15""",Կապույտ,4,Սեդան,101,Ձախ,,,Բենզին,1.6,,280000 կմ,Մեխանիկական,Առջևի
6,Opel, Տեղադրված է՝  03.10.2018, ID: 1834341,Combo ,4 500 $,2006,,Սպիտակ,,Կուպե,,Ձախ,,NOR BERVAC,Գազ,,,143000 կմ,Մեխանիկական,
7,Volvo, Տեղադրված է՝  03.10.2018, ID: 1834324,S60 ,2 250 $,2003,,Կապույտ,,Սեդան,140,Աջ,5,,Գազ,2.4,Բեժ,178000 կմ,Ավտոմատ,Առջևի
8,Opel, Տեղադրված է՝  03.10.2018, ID: 1834314,Zafira ,3 200 $,2000,,Այլ գույն,,Ունիվերսալ,,Ձախ,,,Գազ,,,220000 կմ,Մեխանիկական,
9,VAZ(Lada), Տեղադրված է՝  03.10.2018, ID: 1834311,2172 Priora ,3 400 $,2010,,Արծաթագույն,,Սեդան,,Ձախ,,restayling,Գազ,,,128000 կմ,Մեխանիկական,
10,VAZ(Lada), Տեղադրված է՝  03.10.2018, ID: 1834304,2170 Priora ,3 400 $,2010,,Արծաթագույն,,Սեդան,,Ձախ,,restayling,Գազ,,,128000 կմ,Մեխանիկական,
11,Volkswagen, Տեղադրված է՝  03.10.2018, ID: 1834291,Jetta ,5 800 $,2010,,Արծաթագույն,,Ամենագնաց,,Ձախ,,,Գազ,,,91000 մղոն,Ավտոմատ,
12,VAZ(Lada), Տեղադրված է՝  03.10.2018, ID: 1834289,2112 ,3 000 $,2006,,Այլ գույն,,Հետչբեք,,Ձախ,,1.6,Բենզին,,,200 կմ,Մեխանիկական,
13,Opel, Տեղադրված է՝  03.10.2018, ID: 1834284,Astra ,3 500 $,2003,,Արծաթագույն,,Հետչբեք,,Ձախ,,Astra g 1.6,Բենզին,,,148000 կմ,Մեխանիկական,
14,Opel, Տեղադրված է՝  03.10.2018, ID: 1834283,Astra ,3 000 $,2000,"15""",Սև,,Սեդան,75,Ձախ,,1.6 պրաստոյ,Գազ,1.6,,167999 կմ,Մեխանիկական,Առջևի
15,Opel, Տեղադրված է՝  03.10.2018, ID: 1834235,Astra ,3 400 $,2000,,Մանուշակագույն,,Հետչբեք,,Ձախ,,,Գազ,,,180000 կմ,Ավտոմատ,
16,Volkswagen, Տեղադրված է՝  03.10.2018, ID: 1834213,Jetta ,3 500 $,2002,,Սև,,Սեդան,,Ձախ,,VW JETTA 2.0 L,Բենզին,,,141000 կմ,Ավտոմատ,
17,Opel, Տեղադրված է՝  03.10.2018, ID: 1834211,Astra ,3 600 $,2004,"15""",Կապույտ,5,Հետչբեք,90,Ձախ,4,Astra h,Բենզին,1.4,Սև,137000 կմ,Մեխանիկական,Առջևի
