brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Jeep, Տեղադրված է՝  20.01.2019, ID: 1974684,Wrangler ,27 000 $,2007,,Կապույտ,,Ամենագնաց,,Ձախ,,Sahara,Բենզին,,,105000 կմ,Ավտոմատ,
Fiat, Տեղադրված է՝  20.01.2019, ID: 1974673,Bravo ,4 000 $,2008,,Կարմիր,,Հետչբեք,120,Ձախ,,1.4 t-jet,Բենզին,,Սև,167000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  20.01.2019, ID: 1974626,Transit ,5 600 $,2006,,Սպիտակ,,Ֆուրգոն,,Ձախ,,Anteri vichak,Դիզել,,,138000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  20.01.2019, ID: 1974618,Transit ,4 600 $,2005,"15""",Սպիտակ,5,Ֆուրգոն,85,Ձախ,4,ANTERI VICHAK,Դիզել,2.0,,125000 կմ,Մեխանիկական,Ետևի
Infiniti, Տեղադրված է՝  20.01.2019, ID: 1974565,FX35 ,15 500 $,2009,"20""",Սպիտակ,4,Ամենագնաց,307,Ձախ,6,4X4 gazov,Գազ,3.5,Սև,125000 մղոն,Ավտոմատ,Լիաքարշակ
Honda, Տեղադրված է՝  20.01.2019, ID: 1974519,Accord ,5 300 $,2006,,Արծաթագույն,,Սեդան,,Աջ,,,Բենզին,,,97000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  20.01.2019, ID: 1974424,Civic ,2 700 $,2000,,Արծաթագույն,,Սեդան,,Աջ,,Honda Domani,Գազ,1.5,Մոխրագույն,117000 կմ,Ավտոմատ,Առջևի
Honda, Տեղադրված է՝  20.01.2019, ID: 1974284,Fit ,3 700 $,2008,,Սև,,Հետչբեք,,Աջ,,,Բենզին,,,90000 կմ,Վարիատոր,
Infiniti, Տեղադրված է՝  20.01.2019, ID: 1974277,FX35 ,16 800 $,2012,"20""",Սպիտակ,4,Ամենագնաց,,Ձախ,6,GERAZAN.VIJAK.FUL,Բենզին,3.5,Բեժ,107000 կմ,Ավտոմատ,Լիաքարշակ
Ford, Տեղադրված է՝  20.01.2019, ID: 1974265,Transit ,4 600 $,2005,"15""",Սպիտակ,5,Ֆուրգոն,85,Ձախ,4,85 dziauj,Դիզել,2.0,,125000 կմ,Մեխանիկական,Առջևի
Infiniti, Տեղադրված է՝  20.01.2019, ID: 1974225,FX35 ,9 400 $,2006,,Սև,,Ամենագնաց,,Ձախ,,Restayling,Բենզին,,,107000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  20.01.2019, ID: 1974222,FX35 ,16 700 $,2012,,Սպիտակ,,Ամենագնաց,,Ձախ,,Restayling,Բենզին,,,125000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  20.01.2019, ID: 1974212,Elysion ,4 300 $,2005,,Սև,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Բենզին,,,141000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  20.01.2019, ID: 1974208,Elysion ,5 700 $,2006,"16""",Սև,5,Մինիվեն / Միկրոավտոբուս,,Ձախ,,Honda Elysion 2006 Idealakan,Բենզին,2.4,Սև,135000 կմ,Ավտոմատ,Առջևի
Infiniti, Տեղադրված է՝  20.01.2019, ID: 1974173,FX35 ,11 000 $,2006,,Սև,,Ամենագնաց,,Ձախ,,"Japan, restailing",Բենզին,,,131000 կմ,Ավտոմատ,
Chrysler, Տեղադրված է՝  20.01.2019, ID: 1974167,300 ,7 500 $,2007,"18""",Սև,5,Սեդան,,Ձախ,,signature series 3.5,Գազ,3.5,Մոխրագույն,124000 մղոն,Ավտոմատ,Ետևի
Honda, Տեղադրված է՝  20.01.2019, ID: 1974150,Odyssey ,5 900 $,2008,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,,Բենզին,,,177000 մղոն,Ավտոմատ,
Infiniti, Տեղադրված է՝  20.01.2019, ID: 1974132,FX35 ,6 800 $,2007,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Բենզին,3.5,,160000 կմ,Ավտոմատ,Լիաքարշակ
Honda, Տեղադրված է՝  19.01.2019, ID: 1974069,Pilot ,6 500 $,2006,,Սև,,Ամենագնաց,,Ձախ,,,Գազ,,,180000 մղոն,Ավտոմատ,Առջևի
Ford, Տեղադրված է՝  19.01.2019, ID: 1974047,Escape ,7 000 $,2010,,Մոխրագույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,113000 մղոն,Ավտոմատ,
Honda, Տեղադրված է՝  19.01.2019, ID: 1974044,Elysion ,6 600 $,2004,"18""",Սպիտակ,5,Մինիվեն / Միկրոավտոբուս,,Աջ,,,Գազ,3.0,Բեժ,140000 կմ,Ավտոմատ,Առջևի
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1974030,EX35 ,10 500 $,2009,,Սպիտակ,,Ամենագնաց,,Ձախ,,3.5L 6,Բենզին,,,138000 մղոն,Ավտոմատ,
Honda, Տեղադրված է՝  19.01.2019, ID: 1974018,Elysion ,6 700 $,2007,,Սև,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,"3.5, PRESTIGE, FULL",Բենզին,3.5,Բեժ,175000 կմ,Ավտոմատ,Առջևի
Ford, Տեղադրված է՝  19.01.2019, ID: 1974007,Explorer ,8 700 $,2010,"16""",Սև,5,Ամենագնաց,210,Ձախ,6,"XLT, 4,0L, 4*4",Բենզին,4.0,Բեժ,132000 կմ,Ավտոմատ,Լիաքարշակ
Ford, Տեղադրված է՝  19.01.2019, ID: 1973999,Fusion ,10 500 $,2013,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,127000 կմ,Ավտոմատ,
Hummer, Տեղադրված է՝  19.01.2019, ID: 1973964,H2 ,13 500 $,2004,,Դեղին,,Ամենագնաց,,Ձախ,,,Գազ,,,100000 կմ,Ավտոմատ,
Jeep, Տեղադրված է՝  19.01.2019, ID: 1973963,Grand Cherokee ,25 500 $,2014,"20""",Սև,5,Ամենագնաց,250,Ձախ,6,3.6,Բենզին,3.6,Բեժ,55880 կմ,Ավտոմատ,Ետևի
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1973934,QX4 ,5 000 $,2002,"17""",Ոսկեգույն,5,Ամենագնաց,,Ձախ,6,3.5L GAZ 2.4 BALON,Բենզին,3.5,Բեժ,10 կմ,Ավտոմատ,Լիաքարշակ
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1973919,FX35 ,15 500 $,2010,"21""",Շագանակագույն,5,Ամենագնաց,,Ձախ,6,Gerazanc vichak 4x4 kanadakan,Բենզին,3.5,Շագանակագույն,122000 կմ,Ավտոմատ,Լիաքարշակ
Ford, Տեղադրված է՝  19.01.2019, ID: 1973882,Focus ,4 700 $,2012,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,74000 մղոն,Ավտոմատ,
Honda, Տեղադրված է՝  19.01.2019, ID: 1973858,Odyssey ,4 700 $,2004,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Աջ,,,Գազ,,,200000 կմ,Վարիատոր,
Ford, Տեղադրված է՝  19.01.2019, ID: 1973743,Transit ,5 600 $,2006,"15""",Սպիտակ,5,Ֆուրգոն,85,Ձախ,4,Nor bervac,Դիզել,2.2,,138000 կմ,Մեխանիկական,Առջևի
Ford, Տեղադրված է՝  19.01.2019, ID: 1973702,Transit ,6 600 $,2006,"16""",Արծաթագույն,4,Մինիվեն / Միկրոավտոբուս,100,Ձախ,4,,Դիզել,2.0,Մոխրագույն,150000 կմ,Մեխանիկական,Առջևի
Ford, Տեղադրված է՝  19.01.2019, ID: 1973701,Transit ,6 600 $,2006,"16""",Արծաթագույն,4,Մինիվեն / Միկրոավտոբուս,100,Ձախ,4,,Դիզել,2.0,Մոխրագույն,150000 կմ,Մեխանիկական,Առջևի
Honda, Տեղադրված է՝  19.01.2019, ID: 1973699,Fit ,2 200 $,2001,,Երկնագույն,,Հետչբեք,,Աջ,,,Բենզին,,,174000 կմ,Վարիատոր,
Ford, Տեղադրված է՝  19.01.2019, ID: 1973634,Transit ,8 300 $,2004,"16""",Կապույտ,5,Մինիվեն / Միկրոավտոբուս,,Ձախ,4,,Դիզել,2.5,Մոխրագույն,250000 կմ,Մեխանիկական,Ետևի
Ford, Տեղադրված է՝  19.01.2019, ID: 1973566,Focus ,3 300 $,2004,,Կապույտ,,Հետչբեք,,Ձախ,,Hatchback 1.4,Բենզին,,,144 կմ,Մեխանիկական,
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1973537,FX35 ,8 700 $,2006,,Մոխրագույն,,Ամենագնաց,,Ձախ,,Restayling 4х4,Բենզին,,,150000 կմ,Ավտոմատ,
Jeep, Տեղադրված է՝  19.01.2019, ID: 1973525,Grand Cherokee ,6 500 $,2005,,Սև,,Ամենագնաց,,Ձախ,,4×4 LAREDO farsunka gaz 2.4,Գազ,,,164000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1973451,FX35 ,9 500 $,2005,,Սև,,Ամենագնաց,,Ձախ,,Sport,Բենզին,,,68000 մղոն,Ավտոմատ,
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1973450,FX35 ,9 500 $,2005,,Սև,,Ամենագնաց,,Ձախ,,Sport,Բենզին,,,68000 մղոն,Ավտոմատ,
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1973440,QX4 ,5 800 $,2001,"17""",Արծաթագույն,5,Ամենագնաց,,Ձախ,6,,Գազ,3.5,,168000 մղոն,Ավտոմատ,Լիաքարշակ
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1973153,FX35 ,8 200 $,2003,,Սև,,Ամենագնաց,,Ձախ,,,Գազ,,,180000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  19.01.2019, ID: 1972889,Elysion ,7 000 $,2008,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,2.4 4x4,Բենզին,,,170000 կմ,Ավտոմատ,
Ford, Տեղադրված է՝  19.01.2019, ID: 1972835,Transit ,4 400 $,2000,,Սպիտակ,,Ունիվերսալ,,Ձախ,,2.4 T D DIZEL,Դիզել,,,197000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  19.01.2019, ID: 1972734,Focus ,8 000 $,2015,,Սև,,Սեդան,,Ձախ,,,Բենզին,2.0,Սև,89000 մղոն,Ավտոմատ,Առջևի
Ford, Տեղադրված է՝  19.01.2019, ID: 1972733,Focus ,8 300 $,2015,,Սև,,Սեդան,,Ձախ,,,Բենզին,2.0,Սև,89000 մղոն,Ավտոմատ,Առջևի
Honda, Տեղադրված է՝  19.01.2019, ID: 1972579,Fit ,3 200 $,2005,"15""",Կապույտ,5,Հետչբեք,,Աջ,4,13,Բենզին,1.3,Մոխրագույն,17500 կմ,Վարիատոր,Լիաքարշակ
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1972577,FX35 ,6 800 $,2007,,Արծաթագույն,,Ամենագնաց,,Ձախ,,,Բենզին,3.5,,185000 կմ,Ավտոմատ,Լիաքարշակ
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1972569,FX35 ,3 500 $,2003,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,,Բենզին,,,170000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1972564,FX35 ,6 200 $,2005,,Սև,,Ամենագնաց,,Ձախ,6,,Բենզին,3.5,Բեժ,147000 կմ,Ավտոմատ,Լիաքարշակ
Infiniti, Տեղադրված է՝  19.01.2019, ID: 1972560,FX35 ,8 200 $,2008,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,150000 կմ,Ավտոմատ,Լիաքարշակ
Infiniti, Տեղադրված է՝  18.01.2019, ID: 1972455,FX35 ,9 000 $,2004,,Շագանակագույն,,Ամենագնաց,,Ձախ,,,Գազ,,,135000 մղոն,Ավտոմատ,
Infiniti, Տեղադրված է՝  18.01.2019, ID: 1972442,FX35 ,21 000 $,2012,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Բենզին,,,43000 մղոն,Ավտոմատ,
Infiniti, Տեղադրված է՝  18.01.2019, ID: 1972362,FX35 ,15 500 $,2009,"20""",Սպիտակ,4,Ամենագնաց,306,Ձախ,6,,Բենզին,3.5,Բեժ,99000 կմ,Ավտոմատ,Լիաքարշակ
Chrysler, Տեղադրված է՝  18.01.2019, ID: 1972343,300 ,7 500 $,2007,"17""",Մոխրագույն,4,Սեդան,178,Ձախ,6,,Բենզին,2.7,Սև,84000 մղոն,Ավտոմատ,Ետևի
Infiniti, Տեղադրված է՝  18.01.2019, ID: 1972336,FX35 ,13 339 $,2009,,Սպիտակ,,Ամենագնաց,,Ձախ,,Fx23,Բենզին,,,92000 կմ,Ավտոմատ,
