,brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
0,Infiniti, Տեղադրված է՝  24.10.2018, ID: 1858366,FX35 ,9 000 $,2005,,Արծաթագույն,,Ամենագնաց,,Ձախ,,,Գազ,,,116000 մղոն,Ավտոմատ,
1,Jeep, Տեղադրված է՝  24.10.2018, ID: 1858253,Wrangler ,8 500 $,2002,"15""",Կապույտ,3,Ամենագնաց,190,Ձախ,6,Sport,Բենզին,4.0,Սև,135000 մղոն,Ավտոմատ,Լիաքարշակ
2,Ford, Տեղադրված է՝  24.10.2018, ID: 1858191,Focus ,6 500 $,2014,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,55000 մղոն,Ավտոմատ,
3,Honda, Տեղադրված է՝  24.10.2018, ID: 1858184,Elysion ,5 400 $,2007,,Սև,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Բենզին,,,100000 կմ,Ավտոմատ,
4,Infiniti, Տեղադրված է՝  24.10.2018, ID: 1858168,FX35 ,18 700 $,2012,,Մոխրագույն,,Ամենագնաց,,Ձախ,,Restayling,Բենզին,,,71000 մղոն,Ավտոմատ,
5,Honda, Տեղադրված է՝  24.10.2018, ID: 1858166,Elysion ,6 800 $,2008,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,156000 կմ,Ավտոմատ,
6,Chrysler, Տեղադրված է՝  24.10.2018, ID: 1858090,300 ,8 000 $,2007,"17""",Այլ գույն,4,Սեդան,178,Ձախ,,,Բենզին,2.7,Սև,84000 մղոն,Ավտոմատ,
7,Ford, Տեղադրված է՝  24.10.2018, ID: 1857845,Fusion ,7 000 $,2014,,Սպիտակ,4,Սեդան,,Ձախ,,,Բենզին,2.5,Մոխրագույն,68332 կմ,Ավտոմատ,Առջևի
8,Infiniti, Տեղադրված է՝  24.10.2018, ID: 1857590,G37 ,13 200 $,2010,,Արծաթագույն,,Սեդան,333,Ձախ,,RESTYLE 4X4,Բենզին,3.7,,150000 կմ,Ավտոմատ,Լիաքարշակ
9,Honda, Տեղադրված է՝  24.10.2018, ID: 1857526,Fit ,4 000 $,2008,"14""",Սև,4,Հետչբեք,100,Աջ,4,1.3,Բենզին,1.3,Կապույտ,135000 կմ,Վարիատոր,Առջևի
10,Jaguar, Տեղադրված է՝  24.10.2018, ID: 1857525,X-Type ,5 200 $,2001,,Սև,,Սեդան,,Ձախ,,,Գազ,,,198000 կմ,Ավտոմատ,
11,Honda, Տեղադրված է՝  24.10.2018, ID: 1857512,Elysion ,6 000 $,2007,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Աջ,,,Գազ,,,200000 կմ,Ավտոմատ,
12,Ford, Տեղադրված է՝  24.10.2018, ID: 1857476,Transit ,7 000 $,2004,"16""",Կապույտ,5,Ֆուրգոն,90,Ձախ,4,Anteri vichak zadni vidushi,Դիզել,2.4,,190000 կմ,Մեխանիկական,Ետևի
13,Ford, Տեղադրված է՝  24.10.2018, ID: 1857471,Transit ,6 000 $,2001,"16""",Սպիտակ,4,Ֆուրգոն,120,Ձախ,4,120 dziauj,Դիզել,2.4,,160000 կմ,Մեխանիկական,Ետևի
14,Ford, Տեղադրված է՝  24.10.2018, ID: 1857469,Transit ,6 000 $,2005,,Արծաթագույն,,Ֆուրգոն,,Ձախ,,ANTERI GERAZANC HOR BERVAC,Դիզել,,,110000 կմ,Մեխանիկական,
15,Ford, Տեղադրված է՝  24.10.2018, ID: 1857464,Focus ,10 500 $,2015,"17""",Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,Սև,17000 կմ,Ավտոմատ,
