brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2075378,Grandis ,4 500 $,2003,"16""",Սպիտակ,4,Մինիվեն / Միկրոավտոբուս,165,Աջ,4,INJEKTOR GAZOV,Գազ,2.4,Բեժ,120000 կմ,Ավտոմատ,Առջևի
Opel, Տեղադրված է՝  17.03.2019, ID: 2075366,Astra ,3 500 $,2004,"15""",Սև,5,Հետչբեք,84,Ձախ,4,G,Բենզին,1.6,Մոխրագույն,138000 կմ,Մեխանիկական,Առջևի
Kia, Տեղադրված է՝  17.03.2019, ID: 2075365,Optima ,13 000 $,2017,,Սև,,Սեդան,,Ձախ,,24,Բենզին,,,75000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075361,Astra ,3 200 $,2000,"15""",Արծաթագույն,4,Սեդան,101,Ձախ,4,2000 EDITION,Գազ,1.6,Սև,123000 կմ,Մեխանիկական,Առջևի
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075357,GX 470 ,14 900 $,2004,,Սև,,Ամենագնաց,,Ձախ,,SPORT,Գազ,,,195000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  17.03.2019, ID: 2075356,Optima ,9 300 $,2012,,Սպիտակ,,Սեդան,,Ձախ,,EX,Բենզին,,,70000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  17.03.2019, ID: 2075353,Sportage ,27 000 $,2017,"18""",Մոխրագույն,5,Ամենագնաց,,Ձախ,,,Բենզին,2.4,Սև,14400 մղոն,Ավտոմատ,Լիաքարշակ
Niva, Տեղադրված է՝  17.03.2019, ID: 2075338,4x4 Urban ,7 900 $,2016,,Սև,,Ունիվերսալ,,Ձախ,,URBAN LYUQS,Բենզին,,,28000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075335,Vectra B ,2 300 $,2000,,Կապույտ,,Սեդան,,Ձախ,,,Գազ,,,190000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075334,Vectra B ,2 500 $,2000,"15""",Սև,4,Սեդան,105,Ձախ,4,1․8 էկոտեկ,Գազ,1.8,Սև,233000 կմ,Մեխանիկական,Առջևի
Kia, Տեղադրված է՝  17.03.2019, ID: 2075333,Forte ,5 000 $,2014,"15""",Սպիտակ,5,Սեդան,145,Ձախ,,LX 1.8 DOHC,Բենզին,1.8,Սև,52820 մղոն,Ավտոմատ,Առջևի
Opel, Տեղադրված է՝  17.03.2019, ID: 2075319,Zafira ,3 500 $,2001,"15""",Արծաթագույն,4,Ունիվերսալ,,Ձախ,,,Բենզին,1.8,Մոխրագույն,219000 կմ,Մեխանիկական,Առջևի
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2075287,Pajero Pinin (IO) ,3 000 $,2000,,Սպիտակ,,Կուպե,,Ձախ,,1.8,Գազ,,,150000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075281,Zafira ,4 300 $,2005,,Արծաթագույն,,Հետչբեք,,Ձախ,,,Գազ,,,119000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075259,Astra ,3 500 $,2002,,Արծաթագույն,,Հետչբեք,,Ձախ,,1.6 prastoy,Բենզին,,,123000 կմ,Մեխանիկական,
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2075257,Pajero ,3 500 $,2001,,Սպիտակ,,Ամենագնաց,,Ձախ,,IO 2.0 GDI,Բենզին,,,160000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075254,RX 350 ,11 300 $,2007,,Սև,,Ամենագնաց,,Ձախ,,4X4 FULL 2007/06,Բենզին,,,114000 մղոն,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2075253,Outlander ,6 700 $,2007,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,2.4,Սև,115000 կմ,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  17.03.2019, ID: 2075215,Astra ,3 300 $,2000,"15""",Արծաթագույն,4,Հետչբեք,120,Ձախ,4,,Գազ,1.6,Մոխրագույն,151000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  17.03.2019, ID: 2075214,Astra ,3 300 $,2000,"15""",Արծաթագույն,4,Հետչբեք,120,Ձախ,4,,Գազ,1.6,Մոխրագույն,151000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  17.03.2019, ID: 2075210,Zafira ,3 000 $,2000,,Մոխրագույն,,Ունիվերսալ,,Ձախ,,1.8 Motor,Բենզին,,,165000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075197,Astra ,3 500 $,2002,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,prastoi mator 2002-2003,Գազ,,,123000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075195,Astra ,3 500 $,2002,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,prastoi mator 2002-2003,Գազ,,,123000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075193,Zafira ,4 150 $,2003,,Կապույտ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Գազ,,,168000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075182,Astra ,3 050 $,2000,"14""",Կանաչ,5,Սեդան,75,Ձախ,4,Tarm meqena,Բենզին,1.6,Սև,180000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  17.03.2019, ID: 2075169,Astra ,3 300 $,2003,"15""",Արծաթագույն,5,Հետչբեք,84,Ձախ,4,prastoi ijektr,Բենզին,1.6,Սև,155000 կմ,Մեխանիկական,Առջևի
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2075167,Pajero Pinin (IO) ,3 200 $,2000,"16""",Արծաթագույն,5,Ամենագնաց,130,Ձախ,,,Բենզին,2.0,Մոխրագույն,170000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075164,RX 350 ,12 500 $,2008,"18""",Սպիտակ,5,Ամենագնաց,,Ձախ,6,NOR BERVATS 4X4 FUL RESTAYLING,Բենզին,3.5,Բեժ,116000 կմ,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  17.03.2019, ID: 2075161,Optima ,9 700 $,2012,,Սև,,Սեդան,,Ձախ,,SXL,Բենզին,,,84000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075160,GX 470 ,14 500 $,2006,"17""",Սպիտակ,4,Ամենագնաց,263,Ձախ,8,MAQUR CARFAX RESTYLING,Բենզին,4.7,Բեժ,129000 մղոն,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075149,GX 470 ,16 900 $,2007,"17""",Բեժ,5,Ամենագնաց,,Ձախ,8,NOR BERVATS RESTAYLING,Բենզին,4.7,Բեժ,125000 կմ,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  17.03.2019, ID: 2075146,Optima ,8 000 $,2010,,Սև,,Սեդան,,Ձախ,,2Turbo sport,Բենզին,,,80000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075144,Astra ,3 200 $,2000,,Արծաթագույն,,Սեդան,,Ձախ,,NOR BERVAC SEDAN,Բենզին,,,104000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075133,Combo ,4 500 $,2006,,Սպիտակ,,Կուպե,,Ձախ,,NOR BERVAC GAZOV,Բենզին,,,145000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075126,Zafira ,3 600 $,2002,"15""",Սպիտակ,5,Մինիվեն / Միկրոավտոբուս,97,Ձախ,4,CNG GORCARANAYIN GAZ+BENZIN,Գազ,1.6,Մոխրագույն,200000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  17.03.2019, ID: 2075122,Combo ,4 300 $,2007,,Կապույտ,,Ունիվերսալ,,Ձախ,,1.6,Գազ,,,136000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  17.03.2019, ID: 2075119,Sorento ,4 900 $,2004,,Սև,,Ունիվերսալ,,Ձախ,,EX 3.5 FUL T[ptronik 2WD Spo,Բենզին,,,151000 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075111,GS 350 ,11 000 $,2007,"18""",Սև,4,Սեդան,311,Ձախ,,,Բենզին,,Սև,150000 կմ,Ավտոմատ,Ետևի
Opel, Տեղադրված է՝  17.03.2019, ID: 2075110,Astra ,3 100 $,2001,,Այլ գույն,,Հետչբեք,,Ձախ,,,Գազ,,,280000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  17.03.2019, ID: 2075105,Optima ,6 500 $,2011,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,75000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075078,RX 350 ,13 900 $,2008,"18""",Սպիտակ,5,Ամենագնաց,,Ձախ,6,4x4 NOR BERVAC CALIFORNIA,Բենզին,3.5,Մոխրագույն,120000 մղոն,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075067,LS 600h ,22 500 $,2007,"19""",Սև,5,Սեդան,394,Ձախ,8,,Հիբրիդ,5.0,Բեժ,147000 կմ,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  17.03.2019, ID: 2075023,Forte ,6 000 $,2011,,Սև,,Սեդան,,Ձախ,,2.0 Dohc,Բենզին,,,95000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  17.03.2019, ID: 2075021,Sorento ,11 000 $,2012,,Բալագույն,,Ամենագնաց,,Ձախ,,Awd,Բենզին,,,106000 մղոն,Ավտոմատ,
Land Rover, Տեղադրված է՝  17.03.2019, ID: 2075014,Freelander ,9 500 $,2007,"18""",Մոխրագույն,4,Ամենագնաց,233,Ձախ,6,,Բենզին,3.2,Բեժ,199000 կմ,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  17.03.2019, ID: 2074990,Sorento ,4 000 $,2002,,Այլ գույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,192000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2074978,Astra ,3 200 $,2003,,Կապույտ,,Սեդան,,Ձախ,,1.6,Բենզին,,,155000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  17.03.2019, ID: 2074977,Forte ,7 150 $,2013,,Բեժ,,Սեդան,,Ձախ,,Nor bervac,Բենզին,,,111000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  17.03.2019, ID: 2074976,Optima ,7 200 $,2012,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,56000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2074970,Zafira ,4 200 $,2004,,Արծաթագույն,,Սեդան,,Ձախ,,1.8 Z,Բենզին,,,138000 կմ,Մեխանիկական,
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2074955,Airtrek ,4 200 $,2004,,Արծաթագույն,,Ամենագնաց,,Ձախ,,Restayling,Բենզին,,,120000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2074923,IS 250 ,8 199 $,2006,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,170000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2074919,IS 250 ,8 000 $,2007,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,92000 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2074888,Astra ,2 650 $,2000,,Կանաչ,,Սեդան,,Ձախ,,opel astra 1.6 prastoy mator,Բենզին,,,145000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2074874,Astra ,2 550 $,2000,,Կանաչ,,Սեդան,,Ձախ,,opel astra 1.6 prastoy mator,Բենզին,,,150000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2074873,Astra ,2 650 $,2000,"15""",Կանաչ,5,Հետչբեք,,Ձախ,4,,Բենզին,1.6,Սև,93000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  17.03.2019, ID: 2074872,Zafira ,4 000 $,2004,"16""",Այլ գույն,5,Ունիվերսալ,125,Ձախ,4,Zafira 2004-2006,Բենզին,1.8,Սև,119000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  17.03.2019, ID: 2074869,Combo ,4 350 $,2007,,Սպիտակ,,Կուպե,,Ձախ,,zavaskoy gaz+benzin CNG nor berv,Գազ,,,153000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2074865,Astra ,2 750 $,2000,,Կանաչ,,Հետչբեք,,Ձախ,,,Բենզին,,,93000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.03.2019, ID: 2074857,Astra ,2 950 $,2000,,Արծաթագույն,,Հետչբեք,,Ձախ,,1.6,Գազ,,,160000 կմ,Մեխանիկական,
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2074851,Airtrek ,3 900 $,2002,"15""",Արծաթագույն,5,Ամենագնաց,,Ձախ,4,PRASTOY MATOR,Բենզին,2.0,Մոխրագույն,92000 կմ,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  17.03.2019, ID: 2074850,Optima ,7 800 $,2013,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,67000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2074848,RX 350 ,43 000 $,2016,"20""",Սպիտակ,4,Ամենագնաց,305,Ձախ,6,,Բենզին,3.5,Շագանակագույն,22000 մղոն,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  17.03.2019, ID: 2074833,Astra ,2 800 $,2000,,Արծաթագույն,,Հետչբեք,,Ձախ,,,Գազ,,,220000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2074832,IS 250 ,8 000 $,2007,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,90000 մղոն,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2074831,Grandis ,4 900 $,2003,,Արծաթագույն,,Մինիվեն / Միկրոավտոբուս,,Աջ,,2.4 4x4,Բենզին,,,70000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2074829,Astra ,3 100 $,2001,,Կապույտ,,Հետչբեք,,Ձախ,,,Գազ,,,180000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  17.03.2019, ID: 2074818,Optima ,7 800 $,2014,,Արծաթագույն,,Սեդան,,Ձախ,,2.4,Բենզին,,,83600 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  17.03.2019, ID: 2074817,Optima ,7 800 $,2014,,Արծաթագույն,,Սեդան,,Ձախ,,2.4,Բենզին,,,83600 մղոն,Ավտոմատ,
Mazda, Տեղադրված է՝  17.03.2019, ID: 2074799,3 ,6 500 $,2012,,Սև,,Սեդան,,Ձախ,,shtaap,Բենզին,,,65000 կմ,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2074798,Airtrek ,4 500 $,2001,"16""",Մոխրագույն,5,Ունիվերսալ,,Աջ,4,,Գազ,2.0,Մոխրագույն,83000 կմ,Ավտոմատ,Առջևի
Kia, Տեղադրված է՝  17.03.2019, ID: 2074792,Forte ,7 500 $,2013,,Այլ գույն,,Սեդան,,Ձախ,,16,Բենզին,,,40000 կմ,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2074789,Outlander ,7 000 $,2007,"16""",Սպիտակ,5,Ամենագնաց,,Ձախ,6,,Բենզին,3.0,Սև,133000 կմ,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  17.03.2019, ID: 2074780,Astra ,2 900 $,2001,,Սև,,Հետչբեք,,Ձախ,,PROSTOI MOTOR IJEKTR 1.6,Բենզին,,,177000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2074763,GX 470 ,15 000 $,2007,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Բենզին,,,150000 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2074745,GX 460 ,30 500 $,2013,"18""",Սև,5,Ամենագնաց,,Ձախ,8,FULL 10.2012,Բենզին,4.6,Շագանակագույն,112000 կմ,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  17.03.2019, ID: 2074737,Astra ,3 500 $,2003,,Արծաթագույն,,Հետչբեք,,Ձախ,,Opel astra g,Գազ,,,162000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2074735,GX 470 ,18 500 $,2007,"17""",Սև,4,Ունիվերսալ,263,Ձախ,8,FULL KOMPLEKTACIA-V V i T MATOR,Բենզին,4.7,Բեժ,115000 կմ,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  17.03.2019, ID: 2074734,Astra ,3 300 $,2000,"15""",Արծաթագույն,4,Հետչբեք,120,Ձախ,4,,Գազ,1.6,Մոխրագույն,151000 կմ,Մեխանիկական,Առջևի
Lexus, Տեղադրված է՝  17.03.2019, ID: 2074730,HS 250 ,9 200 $,2010,,Սև,,Սեդան,,Ձախ,,,Հիբրիդ,,,104000 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2074723,Astra ,3 000 $,2002,"15""",Արծաթագույն,5,Հետչբեք,84,Ձախ,4,NJOY-2003-,Բենզին,1.6,Մոխրագույն,139000 կմ,Մեխանիկական,Առջևի
Kia, Տեղադրված է՝  17.03.2019, ID: 2074719,Sportage ,10 300 $,2011,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Բենզին,,,100000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2074709,Vectra B ,2 400 $,2000,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,111 կմ,Մեխանիկական,
