brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050578,Tiida ,3 400 $,2005,"15""",Սև,5,Հետչբեք,,Ձախ,4,Axsis,Բենզին,1.5,Շագանակագույն,110000 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050577,S 55  AMG ,15 500 $,2007,,Սև,,Սեդան,,Ձախ,,Japan keramikapatac,Բենզին,,,81000 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  04.03.2019, ID: 2050575,325 ,4 950 $,2007,"17""",Արծաթագույն,4,Սեդան,218,Ձախ,6,"Երևանում է, մաքսազերծված է",Բենզին,3.0,Մոխրագույն,150000 կմ,Ավտոմատ,Ետևի
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050570,Skyline ,5 300 $,2007,,Սպիտակ,4,Սեդան,,Ձախ,4,Dax xek,Բենզին,1.5,Սև,85000 կմ,Ավտոմատ,Առջևի
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050569,Camry ,6 500 $,2009,,Սպիտակ,,Սեդան,167,Ձախ,,Camry 2.4,Բենզին,2.4,Բեժ,120000 մղոն,Ավտոմատ,Առջևի
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050568,Tiida ,3 600 $,2008,"15""",Սպիտակ,4,Հետչբեք,,Ձախ,4,Lav vichak,Բենզին,1.5,Սև,85000 կմ,Վարիատոր,Առջևի
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050567,ML 500 ,12 000 $,2006,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,120000 կմ,Ավտոմատ,
Audi, Տեղադրված է՝  04.03.2019, ID: 2050564,A6 ,13 500 $,2013,,Սև,,Սեդան,180,Ձախ,,,Բենզին,2.0,Սև,143000 կմ,Ավտոմատ,Առջևի
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050562,Sonata ,5 500 $,2012,,Սև,,Սեդան,,Ձախ,,SHAT-STAP,Բենզին,,,71000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050561,Camry ,8 700 $,2010,,Սև,,Սեդան,,Ձախ,,2.5 Sport,Գազ,,,130000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050558,Camry ,10 000 $,2012,,Մոխրագույն,,Սեդան,,Ձախ,,Vtarvac chi eghel,Բենզին,,,91000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050557,Juke ,11 000 $,2014,,Սպիտակ,,Ամենագնաց,193,Ձախ,,,Բենզին,1.6,Սև,53000 մղոն,Ավտոմատ,Առջևի
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050553,4-Runner ,10 300 $,2005,"17""",Արծաթագույն,4,Ամենագնաց,245,Ձախ,6,Sport,Բենզին,4.0,Կապույտ,123456 կմ,Ավտոմատ,Լիաքարշակ
BMW, Տեղադրված է՝  04.03.2019, ID: 2050552,328 ,15 500 $,2013,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,Սև,71000 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050542,S 320 ,5 900 $,2000,,Սպիտակ,,Սեդան,,Ձախ,,Carlson,Բենզին,,,68000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050539,Camry ,9 550 $,2011,,Սպիտակ,,Սեդան,,Ձախ,,Nori pes,Բենզին,,,128000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050538,Camry ,9 550 $,2011,,Սպիտակ,,Սեդան,,Ձախ,,Nori pes,Բենզին,,,128000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050536,ML 350 ,15 800 $,2010,,Սպիտակ,,Ամենագնաց,,Ձախ,,Nori pes,Բենզին,,,105000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050534,E 350 ,8 000 $,2008,,Սպիտակ,,Սեդան,,Ձախ,,,Գազ,3.5,Սև,234567 կմ,Ավտոմատ,Ետևի
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050533,CLS 350 ,13 700 $,2007,,Սև,,Սեդան,,Ձախ,,350,Բենզին,,,100000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050532,B 170 ,4 900 $,2007,"17""",Սև,,Հետչբեք,,Ձախ,,շատ շտապ,Բենզին,1.7,,118000 կմ,Ավտոմատ,Առջևի
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050530,Sonata ,5 800 $,2012,,Սև,,Սեդան,,Ձախ,,Nor bervac,Բենզին,,,91000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050529,Sonata ,6 200 $,2012,,Բալագույն,,Սեդան,,Ձախ,,Sport monitorov 2 glushitelov,Բենզին,,,90000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050527,Sonata ,6 300 $,2012,,Սև,,Սեդան,,Ձախ,,2012-2011 Նոր բերված գտնվում է գ,Բենզին,,,108000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050525,E 200 ,16 800 $,2013,"18""",Սև,,Սեդան,185,Ձախ,4,GORCARANAIN GAZ-BENZIN-NOR BERAC,Բենզին,2.0,,140000 կմ,Ավտոմատ,Ետևի
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050524,Sonata ,6 400 $,2012,,Մոխրագույն,,Սեդան,,Ձախ,,Sport monitorov 2 glushitelov,Բենզին,,,78000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050523,Sonata ,6 100 $,2011,,Մոխրագույն,,Սեդան,,Ձախ,,Limited koj salon,Բենզին,,,80000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050522,Tiida ,3 950 $,2008,"15""",Սպիտակ,5,Սեդան,109,Ձախ,4,LATIO 2008 1.5 MATOR PRASTOY KAR,Բենզին,1.5,Սև,86250 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050520,C 300 ,11 600 $,2011,"17""",Սպիտակ,4,Սեդան,231,Ձախ,6,AMG ՇՏԱՊ ֊ ՍԱԿԱՐԿԵԼԻ,Բենզին,3.0,Բեժ,58000 մղոն,Ավտոմատ,Ետևի
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050519,Sonata ,5 900 $,2012,,Մոխրագույն,,Սեդան,,Ձախ,,Nor bervac,Բենզին,,,80000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050517,A 170 ,4 200 $,2008,,Արծաթագույն,,Հետչբեք,,Ձախ,,W169,Բենզին,1.7,Սև,105000 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050515,E 320 ,4 700 $,2000,"17""",Սև,5,Սեդան,,Ձախ,6,ՇՏԱՊ,Գազ,3.2,Սև,235000 կմ,Ավտոմատ,Լիաքարշակ
BMW, Տեղադրված է՝  04.03.2019, ID: 2050511,320 ,6 700 $,2004,,Սպիտակ,,Սեդան,,Ձախ,,E46,Բենզին,,,120000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050510,Camry ,6 900 $,2011,,Արծաթագույն,,Սեդան,,Ձախ,,Restayling 2.5/MAQUR 2011TIV/,Բենզին,,,150500 մղոն,Ավտոմատ,
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050508,Camry ,12 000 $,2013,"17""",Սև,4,Սեդան,178,Ձախ,4,"XPAC, PCHAC CHI SPORT PAKET",Բենզին,2.5,Սև,92000 կմ,Ավտոմատ,Առջևի
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050507,Sonata ,6 400 $,2011,,Սև,,Սեդան,,Ձախ,,2011-2010 Նոր բերված գտնվում է գ,Բենզին,,,89600 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050504,Camry ,10 000 $,2013,,Սև,,Սեդան,171,Ձախ,,,Բենզին,2.5,,106000 մղոն,Ավտոմատ,
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050503,Sonata ,5 850 $,2011,,Արծաթագույն,,Սեդան,,Ձախ,,VTARVAC CHI EXEL NOR BERAC,Բենզին,,,67000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050502,ML 350 ,17 000 $,2010,"20""",Սև,4,Ամենագնաց,272,Ձախ,6,RESTYLING 4MATIC 04/2010 TIV,Բենզին,3.5,Սև,120000 կմ,Ավտոմատ,Լիաքարշակ
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050500,Sonata ,7 250 $,2012,,Սև,,Սեդան,,Ձախ,,POLNI FULL LIMITED VTARVAC CHI E,Բենզին,,,61000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050499,ML 350 ,10 300 $,2007,"19""",Սպիտակ,4,Ամենագնաց,272,Ձախ,6,MAQUR CARFAX TEXAS 4MATIC,Բենզին,3.5,Բեժ,107000 մղոն,Ավտոմատ,Լիաքարշակ
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050497,Elantra ,7 000 $,2011,"17""",Սև,5,Սեդան,148,Ձախ,4,2012-2011,Բենզին,1.8,Սև,102000 կմ,Ավտոմատ,Առջևի
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050496,Elantra ,7 000 $,2011,"17""",Սև,5,Սեդան,148,Ձախ,4,2012-2011,Բենզին,1.8,Սև,102000 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050494,C 200 ,5 300 $,2000,"15""",Սպիտակ,,Սեդան,136,Ձախ,,SAKARKELI,Գազ,2.0,Սև,160000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050493,Tiida ,4 000 $,2009,"15""",Սև,5,Հետչբեք,116,Ձախ,4,1.5,Բենզին,1.5,Սև,58000 կմ,Ավտոմատ,Առջևի
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050492,Teana ,3 500 $,2005,"16""",Սպիտակ,5,Սեդան,170,Ձախ,6,2.3,Բենզին,2.3,Բեժ,87200 կմ,Ավտոմատ,Առջևի
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050491,Teana ,4 000 $,2008,"16""",Սև,5,Սեդան,170,Ձախ,6,2.3,Բենզին,2.3,Սև,51200 կմ,Ավտոմատ,Առջևի
BMW, Տեղադրված է՝  04.03.2019, ID: 2050489,X5 ,6 500 $,2004,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Բենզին,,,160000 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  04.03.2019, ID: 2050488,328 ,4 500 $,2007,,Արծաթագույն,,Սեդան,,Ձախ,,Maqsazercvac e 2007-08,Բենզին,,,150000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050487,Elantra ,6 800 $,2013,,Սև,,Սեդան,,Ձախ,,"1,8 LIMITED",Բենզին,,,79000 մղոն,Ավտոմատ,
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050486,Altima ,5 600 $,2007,"17""",Սև,2,Կուպե,340,Ձախ,6,,Բենզին,3.5,Մոխրագույն,150000 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050484,C 300 ,14 000 $,2012,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,130000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050483,Tucson ,10 200 $,2010,"17""",Շագանակագույն,5,Ամենագնաց,176,Ձախ,4,JLS 2.4 Doch,Բենզին,2.4,Շագանակագույն,116000 կմ,Ավտոմատ,Լիաքարշակ
Hyundai, Տեղադրված է՝  04.03.2019, ID: 2050482,Sonata ,6 300 $,2012,"20""",Սև,4,Սեդան,,Ձախ,4,2.4L,Բենզին,2.4,Մոխրագույն,99000 մղոն,Ավտոմատ,Առջևի
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050480,Tiida ,3 900 $,2009,,Սև,,Հետչբեք,,Ձախ,,Nissan Tiida 2009 год,Բենզին,,,100000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050475,Camry ,7 900 $,2009,"16""",Սև,,Սեդան,,Ձախ,4,2.5 reystayling,Բենզին,2.5,Մոխրագույն,120000 մղոն,Ավտոմատ,Առջևի
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050474,Sunny ,4 200 $,2006,,Արծաթագույն,,Սեդան,,Ձախ,,1.6 cepov mator,Գազ,,,140000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050465,E 350 ,16 800 $,2013,,Սև,,Սեդան,,Ձախ,,AMG FUL PACET 306 di,Բենզին,,,105000 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  04.03.2019, ID: 2050463,X5 ,6 999 $,2006,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,137000 մղոն,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050462,E 320 ,8 500 $,2004,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,88000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050460,CLS 350 ,12 000 $,2006,,Սպիտակ,,Կուպե,,Ձախ,,,Բենզին,,,78000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050458,C 230 ,8 000 $,2006,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,33000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050456,R 350 ,17 500 $,2011,,Սպիտակ,,Ունիվերսալ,,Ձախ,,R 340 4matic,Բենզին,,,146000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  04.03.2019, ID: 2050453,X-Trail ,5 000 $,2006,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,140000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050452,B 170 ,5 000 $,2006,,Սպիտակ,,Հետչբեք,,Ձախ,,,Բենզին,,,117000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050450,Camry ,17 500 $,2017,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,13700 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  04.03.2019, ID: 2050448,525 ,9 000 $,2007,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,133000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050442,ML 500 ,13 000 $,2007,,Սև,,Ունիվերսալ,,Ձախ,,A M G,Գազ,,,130000 մղոն,Ավտոմատ,
Toyota, Տեղադրված է՝  04.03.2019, ID: 2050440,4-Runner ,12 666 $,2006,"19""",Սև,5,Ամենագնաց,268,Ձախ,8,2006-2007 Limited,Բենզին,4.7,Բեժ,121000 կմ,Ավտոմատ,Լիաքարշակ
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050436,A 170 ,4 000 $,2008,,Սև,,Սեդան,,Փոխված աջից ձախ,,,Բենզին,,,92600 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  04.03.2019, ID: 2050434,318 ,5 000 $,2005,"17""",Սև,4,Սեդան,143,Ձախ,4,JAPAN M-SPORTS,Բենզին,2.0,Սև,89000 կմ,Ավտոմատ,Ետևի
BMW, Տեղադրված է՝  04.03.2019, ID: 2050433,528 ,8 400 $,2008,,Սպիտակ,,Սեդան,,Ձախ,,528I,Բենզին,,,127334 մղոն,Ավտոմատ,
BMW, Տեղադրված է՝  04.03.2019, ID: 2050431,328 ,7 800 $,2008,"16""",Սպիտակ,4,Սեդան,,Ձախ,6,,Բենզին,3.0,Բեժ,120000 կմ,Ավտոմատ,Ետևի
Mercedes-Benz, Տեղադրված է՝  04.03.2019, ID: 2050424,ML 350 ,9 600 $,2006,,Արծաթագույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,130000 մղոն,Ավտոմատ,
BMW, Տեղադրված է՝  04.03.2019, ID: 2050423,328 ,425 142 ₽,2006,,Արծաթագույն,,Սեդան,,Ձախ,,Bmw e90,Գազ,,,200000 կմ,Ավտոմատ,
