brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Opel, Տեղադրված է՝  25.11.2018, ID: 1903283,Zafira ,4 000 $,2000,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,,Գազ,,,240000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  25.11.2018, ID: 1903279,RX 350 ,21 000 $,2013,"19""",Մոխրագույն,5,Ամենագնաց,,Ձախ,6,F Sport,Բենզին,3.5,Սև,880000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  25.11.2018, ID: 1903275,GX 460 ,55 000 $,2017,"18""",Սպիտակ,5,Ամենագնաց,,Ձախ,8,,Բենզին,4.6,Շագանակագույն,20000 մղոն,Ավտոմատ,Լիաքարշակ
Mitsubishi, Տեղադրված է՝  25.11.2018, ID: 1903261,Outlander ,13 800 $,2015,,Սպիտակ,,Ամենագնաց,,Ձախ,,Sport,Բենզին,,,68000 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  25.11.2018, ID: 1903260,Zafira ,3 600 $,2002,,Արծաթագույն,,Մինիվեն / Միկրոավտոբուս,125,Ձախ,,Nor bervac 1.8 z,Բենզին,1.8,Սև,230000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  25.11.2018, ID: 1903254,Astra ,3 300 $,2001,,Երկնագույն,,Հետչբեք,,Ձախ,,selection,Բենզին,,,132850 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  25.11.2018, ID: 1903246,Astra ,3 350 $,2003,"15""",Արծաթագույն,4,Սեդան,84,Ձախ,4,,Բենզին,1.6,Սև,136000 կմ,Մեխանիկական,Առջևի
Lexus, Տեղադրված է՝  25.11.2018, ID: 1903239,RX 350 ,22 700 $,2013,,Սպիտակ,,Ունիվերսալ,,Ձախ,,RX350 4WD,Բենզին,,,27000 մղոն,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  25.11.2018, ID: 1903236,Pajero Pinin (IO) ,4 200 $,2004,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,140000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  25.11.2018, ID: 1903227,IS 250 ,14 500 $,2012,"18""",Սև,4,Սեդան,204,Ձախ,6,2012,Բենզին,2.5,Սև,109000 կմ,Ավտոմատ,Ետևի
Lexus, Տեղադրված է՝  25.11.2018, ID: 1903225,RX 350 ,23 700 $,2014,"19""",Սև,5,Ունիվերսալ,,Ձախ,,4WD,Բենզին,3.5,Սև,64000 մղոն,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  25.11.2018, ID: 1903215,Sorento ,6 500 $,2007,"16""",Արծաթագույն,5,Սեդան,230,Ձախ,6,,Բենզին,3.3,Մոխրագույն,125000 կմ,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  25.11.2018, ID: 1903212,Optima ,12 000 $,2016,,Կապույտ,,Սեդան,,Ձախ,,2.4 GDI,Բենզին,,,50000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  25.11.2018, ID: 1903202,RX 350 ,18 000 $,2010,"18""",Սպիտակ,5,Ունիվերսալ,,Ձախ,6,,Բենզին,3.5,Բեժ,87000 մղոն,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  25.11.2018, ID: 1903196,GX 470 ,14 400 $,2005,"17""",Արծաթագույն,5,Ամենագնաց,,Ձախ,8,Full,Բենզին,4.7,Բեժ,127000 մղոն,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  25.11.2018, ID: 1903189,RX 350 ,13 400 $,2007,,Սպիտակ,,Ունիվերսալ,,Ձախ,6,,Բենզին,3.5,Բեժ,63000 մղոն,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  25.11.2018, ID: 1903186,Astra ,3 350 $,2001,"15""",Այլ գույն,5,Սեդան,84,Ձախ,4,1.6 prastoy injektor nor nermucv,Բենզին,1.6,Մոխրագույն,134000 կմ,Մեխանիկական,Առջևի
Kia, Տեղադրված է՝  25.11.2018, ID: 1903171,Optima ,8 700 $,2012,,Մոխրագույն,,Սեդան,,Ձախ,,FULL EX PANARAMA START STOP,Բենզին,,,62000 մղոն,Ավտոմատ,
