brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Ford, Տեղադրված է՝  16.02.2019, ID: 2020026,Transit ,4 600 $,2005,,Սպիտակ,,Ֆուրգոն,,Ձախ,,,Դիզել,,,210000 կմ,Մեխանիկական,
Infiniti, Տեղադրված է՝  16.02.2019, ID: 2020006,QX4 ,6 500 $,2002,,Սև,,Ամենագնաց,,Ձախ,,,Գազ,,,155000 մղոն,Ավտոմատ,
Honda, Տեղադրված է՝  16.02.2019, ID: 2019986,Elysion ,7 002 $,2007,,Սև,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,"3.5, PRESTIGE, FULL 4×4",Բենզին,3.5,Բեժ,175000 կմ,Ավտոմատ,
Ford, Տեղադրված է՝  16.02.2019, ID: 2019983,Explorer ,6 800 $,2005,,Սև,,Ամենագնաց,,Ձախ,,XLT,Բենզին,,,124411 կմ,Ավտոմատ,
Ford, Տեղադրված է՝  16.02.2019, ID: 2019890,Transit ,8 300 $,2007,,Այլ գույն,,Ֆուրգոն,,Ձախ,,,Դիզել,,,140000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  16.02.2019, ID: 2019887,Fusion ,10 800 $,2015,"18""",Սպիտակ,4,Սեդան,175,Ձախ,4,Sport,Բենզին,2.5,Մոխրագույն,82000 կմ,Ավտոմատ,Առջևի
Infiniti, Տեղադրված է՝  16.02.2019, ID: 2019825,FX35 ,7 400 $,2005,,Արծաթագույն,,Ամենագնաց,,Ձախ,,,Գազ,,,108000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  16.02.2019, ID: 2019626,FX37 ,18 700 $,2014,,Սև,,Ամենագնաց,,Ձախ,,QX70,Գազ,,,97000 մղոն,Ավտոմատ,
Infiniti, Տեղադրված է՝  16.02.2019, ID: 2019587,FX35 ,18 700 $,2014,,Սև,,Ամենագնաց,,Ձախ,,QX70,Գազ,,,97000 մղոն,Ավտոմատ,
Infiniti, Տեղադրված է՝  16.02.2019, ID: 2019584,QX70 ,18 700 $,2014,,Սև,,Ամենագնաց,,Ձախ,,QX70 3.7,Գազ,,,97000 մղոն,Ավտոմատ,
Ford, Տեղադրված է՝  16.02.2019, ID: 2019385,Explorer ,7 500 $,2008,"16""",Սև,4,Ամենագնաց,210,Ձախ,6,4x4 XLT,Բենզին,4.0,Բեժ,200 կմ,Ավտոմատ,Լիաքարշակ
Ford, Տեղադրված է՝  16.02.2019, ID: 2019138,F150 ,21 000 $,2011,,Սպիտակ,,Պիկապ,,Ձախ,,FX4,Բենզին,,,140000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  16.02.2019, ID: 2019073,G37 ,6 500 $,2009,"17""",Մոխրագույն,4,Սեդան,328,Ձախ,6,3.7L V6 FI DOHC 24V NF4,Բենզին,3.7,Սև,120000 մղոն,Ավտոմատ,Լիաքարշակ
Ford, Տեղադրված է՝  16.02.2019, ID: 2019029,Fusion ,11 000 $,2014,,Սպիտակ,,Սեդան,,Ձախ,,SE,Բենզին,,,160000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  16.02.2019, ID: 2019008,Elysion ,5 400 $,2006,"16""",Սև,5,Մինիվեն / Միկրոավտոբուս,,Ձախ,,Honda Elysion 2006 Idealakan,Բենզին,2.4,Սև,135000 կմ,Ավտոմատ,Առջևի
