brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Opel, Տեղադրված է՝  17.02.2019, ID: 2020682,Astra ,2 800 $,2000,,Արծաթագույն,,Հետչբեք,,Ձախ,,1.6 prastoi,Բենզին,,,200000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.02.2019, ID: 2020675,Astra ,3 850 $,2000,"15""",Արծաթագույն,5,Հետչբեք,75,Ձախ,,"Prastoy mator 1.6,gaz 1.2l",Գազ,1.6,Սև,163490 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  17.02.2019, ID: 2020667,Astra ,2 600 $,2001,,Կապույտ,,Հետչբեք,,Ձախ,,1.6 prastoy mator,Գազ,,,195500 կմ,Մեխանիկական,
Mazda, Տեղադրված է՝  17.02.2019, ID: 2020660,6 ,15 000 $,2015,,Սպիտակ,,Սեդան,,Ձախ,,2.5skyaktiv,Բենզին,,,30000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020645,GX 470 ,15 000 $,2006,,Սպիտակ,,Ամենագնաց,,Ձախ,,Maqur 2006 tvakan,Բենզին,,,150000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  17.02.2019, ID: 2020635,Picanto ,3 800 $,2007,,Դեղին,,Ամենագնաց,,Ձախ,,Avtomat lux,Բենզին,,,87000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020629,GX 470 ,13 400 $,2004,,Մոխրագույն,,Ամենագնաց,,Ձախ,,California,Բենզին,,,120000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  17.02.2019, ID: 2020624,Optima ,7 800 $,2011,"17""",Սև,,Սեդան,,Ձախ,,POLNI FULL SHAAAAAAAT SHTAAAAAP,Բենզին,2.4,Սպիտակ,71000 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  17.02.2019, ID: 2020616,Zafira ,2 850 $,2001,,Արծաթագույն,,Սեդան,,Ձախ,,"1,8 ELEGANCE",Բենզին,,,167000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  17.02.2019, ID: 2020614,Optima ,6 900 $,2011,,Սև,,Սեդան,,Ձախ,,EX FULL,Բենզին,,,130000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.02.2019, ID: 2020605,Combo ,4 350 $,2008,,Սպիտակ,,Կուպե,,Ձախ,,CNG zavaskoy gaz +benzin,Բենզին,,,165000 կմ,Մեխանիկական,
Niva, Տեղադրված է՝  17.02.2019, ID: 2020600,2121 ,8 000 $,2016,,Սպիտակ,,Կուպե,,Ձախ,,1.7,Գազ,,,68000 կմ,Մեխանիկական,
Mazda, Տեղադրված է՝  17.02.2019, ID: 2020593,Verisa ,3 700 $,2008,,Կարմիր,,Հետչբեք,,Աջ,,Mazda 1.5cc,Գազ,,,138000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  17.02.2019, ID: 2020592,Sportage ,11 000 $,2011,,Սև,,Ամենագնաց,,Ձախ,,"DOHC 2,4L. 2WD. 176Hp. 2011/2012",Բենզին,,,40500 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  17.02.2019, ID: 2020586,Astra ,3 200 $,2003,,Սպիտակ,,Ունիվերսալ,,Ձախ,,CNG ZAVACKOY GAZ,Գազ,,,180000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  17.02.2019, ID: 2020584,Sportage ,13 500 $,2014,,Մոխրագույն,,Ամենագնաց,,Ձախ,,"LX 2,4L. 4WD, 176Hp.",Բենզին,,,54000 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020579,LX 570 ,38 000 $,2008,"18""",Բալագույն,5,Ամենագնաց,381,Ձախ,8,EUROPA,Բենզին,5.7,Բեժ,105000 կմ,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  17.02.2019, ID: 2020572,Optima ,6 600 $,2013,,Մոխրագույն,,Սեդան,,Ձախ,,Koj salon start stopov,Բենզին,,,61000 կմ,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  17.02.2019, ID: 2020570,Colt ,2 600 $,2003,,Արծաթագույն,,Հետչբեք,,Աջ,,,Գազ,,,175000 կմ,Վարիատոր,
Opel, Տեղադրված է՝  17.02.2019, ID: 2020569,Zafira ,4 250 $,2004,,Կապույտ,,Ունիվերսալ,,Ձախ,,1.6,Գազ,,,135000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020566,GX 470 ,17 500 $,2006,"18""",Սպիտակ,4,Ունիվերսալ,263,Ձախ,8,MAQUR MEQENAYA ARANC VTARI !!!,Բենզին,4.7,Սև,116500 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020560,GX 470 ,17 300 $,2006,,Արծաթագույն,,Ամենագնաց,,Ձախ,,4..7,Գազ,,,135000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.02.2019, ID: 2020559,Zafira ,3 850 $,2004,,Սպիտակ,,Հետչբեք,,Ձախ,,CNG zavashoy gaz + benzin 2004/2,Բենզին,,,165000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020554,GX 470 ,23 500 $,2009,"17""",Սև,4,Ունիվերսալ,273,Ձախ,8,AMENNA FULL KOMPLEKTACYA !,Բենզին,4.7,,62500 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020542,RX 350 ,16 800 $,2010,"18""",Արծաթագույն,5,Ունիվերսալ,,Ձախ,6,,Բենզին,3.5,Սև,63000 մղոն,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  17.02.2019, ID: 2020531,Zafira ,2 800 $,2000,,Կապույտ,,Ունիվերսալ,,Ձախ,,,Բենզին,,,151000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020527,GX 470 ,15 500 $,2006,"17""",Սպիտակ,4,Ամենագնաց,263,Ձախ,8,MAQUR CARFAX RESTYLING,Բենզին,4.7,Մոխրագույն,129000 մղոն,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020526,GX 460 ,27 700 $,2011,"18""",Սպիտակ,4,Ամենագնաց,296,Ձախ,8,MAQUR CARFAX TEXAS 2011-2010 TIV,Բենզին,4.7,Սև,13000 կմ,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  17.02.2019, ID: 2020524,Astra ,2 650 $,2000,,Արծաթագույն,,Հետչբեք,,Ձախ,,1.6,Բենզին,,,148000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.02.2019, ID: 2020522,Astra ,3 100 $,2000,,Արծաթագույն,,Հետչբեք,,Ձախ,,1.6,Գազ,,,159000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020517,LX 570 ,50 000 $,2010,,Սպիտակ,,Ամենագնաց,,Ձախ,,2018 havaqac,Բենզին,,,107000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.02.2019, ID: 2020504,GX 470 ,14 700 $,2007,,Արծաթագույն,,Ամենագնաց,,Ձախ,,NorBervats2007 Nord Carolina,Բենզին,,,130000 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  17.02.2019, ID: 2020437,Zafira ,3 700 $,2002,,Սև,4,Ունիվերսալ,,Ձախ,,"ՇՏԱՊ,7ՆՍՏԱՏԵՂ,Նոր է բերված",Բենզին,1.8,,168500 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  17.02.2019, ID: 2020430,Combo ,2 900 $,2001,"14""",Արծաթագույն,5,Ունիվերսալ,91,Ձախ,4,1.4 benzin gaz,Գազ,1.4,Սև,280000 կմ,Մեխանիկական,Առջևի
Kia, Տեղադրված է՝  17.02.2019, ID: 2020426,Optima ,6 600 $,2013,"16""",Արծաթագույն,4,Սեդան,178,Ձախ,4,NOR BERVAC,Բենզին,2.4,Այլ գույն,101000 կմ,Ավտոմատ,Առջևի
Niva, Տեղադրված է՝  17.02.2019, ID: 2020425,2121 ,5 300 $,2013,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Բենզին,,,80000 կմ,Մեխանիկական,
Mitsubishi, Տեղադրված է՝  17.02.2019, ID: 2020418,Pajero Pinin (IO) ,4 500 $,2003,,Մոխրագույն,,Ամենագնաց,,Փոխված աջից ձախ,,2.0 GDI,Բենզին,,,100000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  17.02.2019, ID: 2020407,Combo ,4 500 $,2007,,Սպիտակ,,Ունիվերսալ,,Ձախ,,Gaz,Գազ,,,87000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  16.02.2019, ID: 2020366,GX 460 ,55 000 $,2017,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,Սև,5700 մղոն,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  16.02.2019, ID: 2020358,Sorento ,4 800 $,2006,,Արծաթագույն,,Ամենագնաց,,Ձախ,,,Գազ,,,113 կմ,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  16.02.2019, ID: 2020344,Montero Sport ,5 600 $,2002,,Սև,,Ամենագնաց,,Ձախ,,4 X 4,Բենզին,,,160000 կմ,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  16.02.2019, ID: 2020322,Montero ,6 500 $,2002,,Արծաթագույն,4,Ամենագնաց,,Ձախ,,"Limited,ՖՈՒԼ,7ՆՍՏԱՏԵՂ,Նոր է բերվ",Բենզին,3.5,,103000 մղոն,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  16.02.2019, ID: 2020315,Astra ,3 500 $,2002,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,prastoi mator 2002-2003,Բենզին,,,120000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  16.02.2019, ID: 2020309,Zafira ,3 500 $,2003,,Կապույտ,,Հետչբեք,,Ձախ,,,Գազ,,,220000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  16.02.2019, ID: 2020308,Optima ,10 500 $,2013,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,69787 կմ,Ավտոմատ,
Niva, Տեղադրված է՝  16.02.2019, ID: 2020302,2121 ,3 850 $,2005,"17""",Այլ գույն,2,Կուպե,,Ձախ,4,,Գազ,1.7,Սև,1234 կմ,Մեխանիկական,Լիաքարշակ
Lexus, Տեղադրված է՝  16.02.2019, ID: 2020294,GX 470 ,14 300 $,2005,,Սպիտակ,,Ամենագնաց,,Ձախ,,2005-2006t,Գազ,,,112000 կմ,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  16.02.2019, ID: 2020277,Pajero ,6 300 $,2001,,Այլ գույն,,Ամենագնաց,,Ձախ,,3.5,Գազ,,,130000 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  16.02.2019, ID: 2020260,Combo ,4 700 $,2006,,Սպիտակ,,Կուպե,,Ձախ,,NOR BERVAC GAZOV,Գազ,,,145000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  16.02.2019, ID: 2020254,Astra ,3 300 $,2000,,Արծաթագույն,,Սեդան,,Ձախ,,NOR BERVAC SEDAN,Բենզին,,,104000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  16.02.2019, ID: 2020237,Zafira ,3 450 $,2001,"15""",Արծաթագույն,4,Ունիվերսալ,,Ձախ,,,Բենզին,1.8,Մոխրագույն,219000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  16.02.2019, ID: 2020221,GX 470 ,16 000 $,2006,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,105000 կմ,Ավտոմատ,
